Region_of_Incident,Cause_of_Death,CausesOfDeathPerRegion
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Probable hyperthermia,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Sub-Saharan Africa,Sickness and lack of access to medicine,"Shot,Vehicle accident,Drowning,Sickness and lack of access to medicine,Thirst,Unknown(mummified remains),Dehydration,Starvation,Suffocation,Harsh weather/lack of adequate shelter,Stabbed,Sexual abuse,Excessive Physical Abuse,Malnutrition,Violence while attempting to board boat,Killed by hippoptamus,Post-partum complications,Exposure"
North Africa,Plane stowaway,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
Europe,Drowning,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Europe,Suffocation,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Unknown,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Middle East,Vehicle Accident,"Hypothermia,Drowning,Air strike,Vehicle Accident,Shot,Struck by artillery shells,Hit by vehicle,Unknown(skeletal remains),Struck by lightning bolt,Violence,Killed by mortar shell,Starvation,Dehydration,Harsh weather/lack of adequate shelter,Stabbed,Sickness and lack of access to medicines,Plane stowaway,Excessive Physical Abuse,Exposure,Malnutrition,Killed by landmine blast"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Hyperthermia,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Probable hyperthermia,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
