Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality,lat,long
52932,Southeast Asia,14-Mar-20,2020,Mar,2,0,2,5,2,0,0,Vehicle Accident,"Nikhom Phatthana, Rayong, Thailand",Bangkok Post, ,https://bit.ly/3aYbyfW,South-eastern Asia,1,12.8299114,101.2043333
52931,Mediterranean,12-Mar-20,2020,Mar,3,5,8,39,2,0,1,Drowning,"Off the coast of Larache, Morocco",Caminando Fronteras,Western Mediterranean,https://archive.ph/gB4Vs,Uncategorized,4,35.18986044,-6.173145607
52924,US-Mexico Border,10-Mar-20,2020,Mar,1,0,1,0,1,0,0,Accident (fell down while climbing border wall),"El Paso, El paso County, Texas, USA",US Customs and Border Protection, ,https://bit.ly/33b78ji,Northern America,5,31.7618778,-106.4850217
52923,Europe,8-Mar-20,2020,Mar,1,0,1,0,0,0,0,Presumed drowning,"Evros/Meriç river, near Feres, Greece",Ekathimerini, ,https://archive.ph/pZZd2,Southern Europe,1,40.90462096,26.25597245
52922,US-Mexico Border,7-Mar-20,2020,Mar,1,0,1,0,0,1,0,Presumed drowning,"Body recovered from the Río Bravo at Nuevo Laredo, Tamaulipas, Mexico",Noticias Reynosa, ,https://bit.ly/2VZlly3,Central America,1,27.49697156,-99.52837282
52916,Europe,4-Mar-20,2020,Mar,1,0,1,0,0,1,0,Shot,"Unspecified location near Edirme, Turkey (Greece-Turkey border)","Reuters, Sky News", ,"https://archive.ph/8Dqqg, https://bit.ly/2wLNRbW",Southern Europe,3,41.65173802,26.52013823
52920,US-Mexico Border,4-Mar-20,2020,Mar,1,0,1,0,0,0,0,Unknown (skeletal remains),"Ranch near Falfurrias, Brooks County, Texas, USA","US Border Patrol, ABC", ,"https://archive.ph/ynhnf, http://bit.ly/38vN0t7",Northern America,5,27.2269872,-98.1441714
52907,Mediterranean,2-Mar-20,2020,Mar,1,0,1,47,0,1,1,Presumed drowning,"Off the coast of Lesbos, Greece","Hellenic Coast Guard, Reuters, RT Arabic",Eastern Mediterranean,"http://www.hcg.gr/node/22624, https://bit.ly/39gROno, https://reut.rs/3cnKyby",Uncategorized,5,39.27142026,26.3923771
52915,Europe,2-Mar-20,2020,Mar,1,0,1,0,0,1,0,Shot,"At the Greece-Turkey border close to Enez, Edirme, Turkey",Middle East Monitor, ,https://archive.ph/n6bjE,Southern Europe,3,40.81128504,26.16366698
52919,US-Mexico Border,2-Mar-20,2020,Mar,2,2,4,0,0,2,0,Presumed drowning,"Two bodies recovered from the Río Bravo. One between Diaz Ordaz and Reynosa and one at Reynosa, Tamaulipas, Mexico.","La Verdad, La Tarde, US Border Patrol, KSAT", ,"https://bit.ly/2wrhrUc, https://archive.ph/ynhnf, https://archive.ph/cOedZ, https://bit.ly/2ItEHDN",Central America,3,26.16271482,-98.39471212
52921,US-Mexico Border,2-Mar-20,2020,Mar,1,0,1,0,0,1,0,Presumed drowning,"Body recoverd from the Río Bravo at Camargo, Tamaulipas, Mexico",La Tarde, ,https://bit.ly/38E7TT4,Central America,1,26.36524306,-98.81592909
52906,Europe,28-Feb-20,2020,Feb,3,0,3,0,0,3,0,Presumed suffocation,"Bodies recovered at Volvi, Thessaloniki, Greece",Ethnos, ,https://bit.ly/2wahrYD,Southern Europe,1,40.6653831,23.5252319
52914,US-Mexico Border,28-Feb-20,2020,Feb,0,3,3,0,0,0,0,Presumed drowning,"Unspecified location around 1 mile off the shore of Del Mar, San Diego County, California, USA",US Customs and Border Protection, ,https://archive.ph/BXr3n,Northern America,5,32.9594891,-117.2653146
52909,North Africa,27-Feb-20,2020,Feb,1,0,1,34,0,1,0,Unknown,"Unspecified location close to Matorral, Castillo del Romeral, Gran Canaria, Spain","El País, Diario Siglo XXI",Western African,"https://bit.ly/397IL8v, https://bit.ly/2PvNitB",Uncategorized,3,27.8006455,-15.43846201
52905,US-Mexico Border,24-Feb-20,2020,Feb,1,0,1,0,0,1,0,Drowning,"Rio Bravo, near El Cenizo, Texas ","Notiviza Tamaulipas, Milenio, and Hoy Tamaulipas",Central America to US,"https://bit.ly/2TgDzZ5, https://bit.ly/2PqwTpY, https://bit.ly/2uwkvh4",Central America,3,27.3321558,-99.5037134
52900,Europe,22-Feb-20,2020,Feb,2,0,2,8,0,0,0,Vehicle  accident,"Near Gramsh, Albania",AP, ,http://bit.ly/2HOPdVL,Southern Europe,1,40.86336836,20.18572464
52910,Mediterranean,22-Feb-20,2020,Feb,1,0,1,0,0,1,0,Drowning,"Body recovered 10 miles off Palma Bay, Palma de Mallorca, Spain",Última Hora,Western Mediterranean,"http://bit.ly/2VDgFOg, https://archive.ph/CBWTj",Uncategorized,3,39.5696005,2.6501603
52904,US-Mexico Border,21-Feb-20,2020,Feb,1,0,1,0,0,1,0,Pressumed exposure,"Unspecified location in Falfurrias, Brooks County, Texas",El Mañana,Central America to US,https://bit.ly/393HIWX,Northern America,1,27.2269872,-98.1441714
52899,South America,20-Feb-20,2020,Feb,1,0,1,0,0,1,1,Sickness,"Near Pamplona, Norte de Santander, Colombia",El Nacional, ,"http://bit.ly/2Vj98nQ, http://bit.ly/2PiBpXR",South America,3,7.37823,-72.6503369
52903,US-Mexico Border,19-Feb-20,2020,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),"Kingsville, Kleburg, Texas",El Mañana,Central America to US,https://bit.ly/393HIWX,Northern America,1,27.5158689,-97.856109
52895,Southeast Asia,18-Feb-20,2020,Feb,1,0,1,12,1,0,0,Vehicle Accident,"Ratthaphum-Hat Yai Road in Tambon Tha Chang of Bang Kham district, Thailand - travelling from the Cambodian border to Songkhla province in southern Thailand","Bangkok Post, Khmer Times", ,"https://archive.ph/iIYrA, https://archive.ph/kOisY",South-eastern Asia,1,7.9806473,99.5006143
52894,North Africa,17-Feb-20,2020,Feb,0,14,14,14,0,0,2,Drowning,"Off the coast of Dakhla, Morocco - en route to the Canary Islands, Spain","Alarm Phone, Caminando Fronteras",Western African,"https://archive.ph/L6dcR, https://archive.ph/OQBwC, https://archive.ph/Oe9nU",Uncategorized,4,24.51127234,-16.86247427
52901,Europe,17-Feb-20,2020,Feb,1,0,1,0,0,1,0,Presumed exposure,"Near Tetovo village of Vejce, North Macedonia",North Macedonian Ministry of the Interior,Western Balkans,"http://mvr.gov.mk/izvadok-od-dnevni-nastani/1773, https://bit.ly/2wJ7XDH",Southern Europe,5,42.0069115,20.9715269
52893,Mediterranean,14-Feb-20,2020,Feb,1,0,1,0,0,1,0,Presumed drowning,"Remains recovered off the coast of Collo, west of Skikda, wilaya of Skikda, Algeria - departed from Mostaganem on 28 January en route to Spain",El Watan,Western Mediterranean,https://archive.ph/rQGL6,Uncategorized,1,37.05948435,6.618582918
52911,Mediterranean,14-Feb-20,2020,Feb,4,14,18,0,0,3,0,Drowning,"Unknown location in the Central Mediterranean. Departed from Chetaibi, Annaba, Algeria. 4 bodies recoveredon 27 February at Sidi Machrek and Cap Sirat beaches in Binzer, Tunisia. ","IOM Algeria, IOM Tunisia, El Watan",Central Mediterranean,https://bit.ly/2uzKxQu,Uncategorized,4,37.7373298,7.835872317
52882,Southeast Asia,11-Feb-20,2020,Feb,15,45,60,70,12,3,0,Drowning,"Bay of Bengal, off the coast of Saint Martin's Island, Bangladesh","BBC, Reuters", ,"https://reut.rs/38trzdj, https://bbc.in/39ppH55, http://bit.ly/2vuKyFm",South-eastern Asia,3,20.62715573,92.34168619
52883,Central America,11-Feb-20,2020,Feb,1,0,1,7,0,1,0,Vehicle Accident,"Federal highway La Tinaja-Cosoleacaque, Veracruz, Mexico","E-Consulta, El Sol de México", ,"https://archive.ph/WnNpH, https://archive.ph/l07O3",Central America,3,18.43616167,-95.96031793
52881,US-Mexico Border,10-Feb-20,2020,Feb,3,0,3,2,3,0,0,Hypothermia,"Laguna mountains, near the Ewiiaapaayp Indian Reservation, San Diego County, California, USA",US Border Patrol, ,"https://archive.ph/h9you, https://archive.ph/X8qqK",Northern America,5,32.84037075,-116.4141213
52887,US-Mexico Border,10-Feb-20,2020,Feb,1,0,1,3,0,1,0,Vehicle Accident,"Road near El Quemado, Maverick County, Texas, USA","Extra, El Mercurio", ,"https://archive.ph/jcCOx, https://archive.ph/7qCCy",Northern America,3,28.94317266,-100.6217777
52898,Europe,10-Feb-20,2020,Feb,1,0,1,0,0,1,0,Unknown (decomposed remains),"Evros River, near Thourio, Greece",Athens Magazine, ,http://bit.ly/39XnxtR,Southern Europe,1,41.43273273,26.60953256
52880,Mediterranean,9-Feb-20,2020,Feb,1,0,1,0,0,0,0,Presumed drowning,"Body recovered off the coast of Benabdelmalek Ramdane, near Mostaganem, Algeria",Réflexion,Western Mediterranean,https://archive.ph/xKPTa,Uncategorized,1,36.19303346,0.215419367
52908,Mediterranean,9-Feb-20,2020,Feb,2,89,91,0,0,0,0,Presumed drowning,"Unspecified location around 40km north of Garabulli, Libya. Two bodies were recovered near Dafiniya, near Zliten, Libya. ","Alarm Phone, IOM Libya, Associated Press",Central Mediterranean,https://archive.ph/h2GoJ,Uncategorized,4,32.91616334,13.69744093
52875,Central America,8-Feb-20,2020,Feb,1,0,1,0,0,1,0,Fell from train,"Train tracks in Sayula de Alemán, Veracruz, Mexico","Al Calor Político, Diario del Istmo", ,"https://archive.ph/OBANv, https://archive.ph/8ZQGi",Central America,3,17.8812332,-94.9607461
52876,Middle East,8-Feb-20,2020,Feb,7,5,12,0,0,0,0,Hypothermia,"Mountain range in Çaldıran district, Van province, Turkey - near border with Iran","Europa Press, Hürriyet", ,"https://archive.ph/CkQNl, https://archive.ph/O9vZ1, https://bit.ly/2xzZRh9",Western Asia,3,39.142,43.9139999
52877,North Africa,8-Feb-20,2020,Feb,2,7,9,18,2,7,0,"Hypothermia, Dehydration, Drowning","800km south of El Hierro, Canary Islands, Spain","Caminando Fronteras, eldiario.es",Western African,"https://archive.ph/OXvgc, https://archive.ph/z3v18, https://archive.ph/6zYlG, https://archive.ph/OZcXw",Uncategorized,4,25.37724615,-18.57361741
52870,North Africa,6-Feb-20,2020,Feb,5,0,5,11,0,0,0,Vehicle  accident,"Road in Sabha, southwest Libya",IOM Libya, ,http://archive.ph/y8xr3,Northern Africa,4,27.0365406,14.4290236
52869,Central America,4-Feb-20,2020,Feb,1,0,1,81,0,0,0,Vehicle Accident,"Federal Road 180, near San Andrés Tuxtla, Veracruz, Mexico","El Universal, Reuters", ,"http://archive.ph/OE1so, http://archive.ph/QKltM",Central America,3,18.44272559,-95.2429738
52879,Central America,4-Feb-20,2020,Feb,1,0,1,0,0,1,0,Fell from train,"Train tracks near Comunidad Los Chinos, Salvador Alvarado, Sinaloa, Mexico","Luz Noticias, Línea Directa", ,"https://archive.ph/DT5CN, https://archive.ph/gl5eP",Central America,3,25.52598498,-108.1667643
52867,US-Mexico Border,3-Feb-20,2020,Feb,1,0,1,0,0,1,0,Drowning,"Río Bravo, near Sullivan Sur, Díaz Ordaz, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana",Central America to US,"https://archive.ph/nftnG, https://archive.ph/MSNM2",Central America,3,26.23380955,-98.57901468
52868,US-Mexico Border,3-Feb-20,2020,Feb,2,0,2,5,0,2,0,Drowning,"Pacific Ocean, north of the Imperial Beach coast,  San Diego County, California, USA",US Border Patrol,Central America to US,"http://archive.ph/0TZZs, http://archive.ph/qxkoO",Northern America,5,32.60140276,-117.1527768
52861,Middle East,2-Feb-20,2020,Feb,1,0,1,3,0,1,0,Hypothermia,"Near Hacıbey stream, Derecik, Hakkâri province, Turkey - near border with Iraq","Milliyet, HaberTürk", ,"http://archive.ph/vwaPD, http://archive.ph/3NwoT",Western Asia,3,37.072423,44.324348
52866,Mediterranean,1-Feb-20,2020,Feb,2,4,6,0,0,0,0,Drowning,"Off the coast of Mostaganem, Algeria","Le Quotidien d'Oran, El Watan",Western Mediterranean,"https://archive.ph/q0F1z, https://archive.ph/QD0qV, https://archive.ph/FCa9H",Uncategorized,3,35.97529203,0.026091453
52860,Central America,31-Jan-20,2020,Jan,1,0,1,0,0,1,0,Fell from train,Train tracks in an unspecified location in Mexico,"Proceso Digital, La Prensa", ,"http://archive.ph/W2reS, http://archive.ph/nIqEV",Central America,3,23.634501,-102.552784
52823,South America,29-Jan-20,2020,Jan,1,0,1,0,0,1,0,Drowning,"Playa El Murciélago de Manta, Manabí province, Ecuador","El Comercio, TVC", ,"http://archive.ph/9ojTn, http://archive.ph/y1EiJ",South America,3,-0.939061286,-80.71196195
52812,US-Mexico Border,28-Jan-20,2020,Jan,1,0,1,1,0,1,0,Drowning,"Río Bravo, near Ejido El Centinela, Piedras Negras, Coahuila, Mexico","La Prensa de Monclova, Zócalo",Central America to US,"http://archive.ph/sHYRr, http://archive.ph/tKDR8",Central America,3,28.78876398,-100.5335432
52813,US-Mexico Border,28-Jan-20,2020,Jan,1,0,1,0,0,0,0,Drowning,"Río Bravo, near International Bridge II, Eagle Pass, Maverick County, Texas, USA",Zócalo,Central America to US,"http://archive.ph/tKDR8, http://archive.ph/Mg0oB",Northern America,3,28.69733301,-100.5101968
52814,US-Mexico Border,28-Jan-20,2020,Jan,1,0,1,0,0,1,0,Drowning,"Río Bravo, near Rancho Las Margaritas, Ejido San Isidro, Piedras Negras, Coahuila, Mexico","Zócalo, GMNoticias",Central America to US,"http://archive.ph/tKDR8, http://archive.ph/Ow3VG",Central America,3,28.87809017,-100.5995218
52874,Central America,28-Jan-20,2020,Jan,1,0,1,0,0,1,0,Fell from train,"Train tracks in Sayula de Alemán, Veracruz, Mexico","Formato Siete, Noreste", ,"https://archive.ph/EhG06, https://archive.ph/gJGC8",Central America,3,17.8812332,-94.9607461
52892,South America,28-Jan-20,2020,Jan,1,0,1,2,0,1,0,Vehicle Accident,"KM 340 of Carretera Panamericana Norte, near Distrito de Casma, Áncash, Perú","Andina, La República", ,"https://archive.ph/IDZhJ, https://archive.ph/8hjG5",South America,3,-9.468165673,-78.31653176
52925,Sub-Saharan Africa,27-Jan-20,2020,Jan,1,0,1,2,1,0,0,Shot,"Niger-Algeria border, near N’Guezzam, Algeria",IOM Niger, , ,Western Africa,4,19.43895234,5.815740513
52798,Central America,25-Jan-20,2020,Jan,1,0,1,0,0,1,0,Hit by train,"Train tracks in Colonia Pakalná, Palenque, Chiapas, Mexico",Cuarto Poder, ,http://bit.ly/3aKH9m1,Central America,1,17.5420646,-91.9893762
52799,Mediterranean,25-Jan-20,2020,Jan,3,2,5,1,0,0,0,Presumed drowning,"One nautical mile off the coast of Mersin, Turkey",Turkish Coast Guard,Eastern Mediterranean,"http://archive.ph/V0gLh, http://archive.ph/YpB8Z",Uncategorized,5,36.7511704,34.646669
52790,Europe,23-Jan-20,2020,Jan,1,0,1,9,0,0,0,Vehicle Accident,"Road between Kavala and Amigdaleonas, east of Thessaloniki, Greece","IOM Greece, Kavala Web News", ,http://bit.ly/30NcrnI,Southern Europe,4,40.9432268,24.37542379
52795,Central America,23-Jan-20,2020,Jan,1,0,1,0,0,1,0,Hit by train,"Train tracks in San Juan Evangelista, Veracruz, Mexico",Al Calor Político, ,http://archive.ph/kYgxS,Central America,1,17.8872074,-95.1386742
52796,US-Mexico Border,23-Jan-20,2020,Jan,1,0,1,0,0,1,0,Drowning,"Río Bravo, near the Rio Grande City – Camargo International Bridge, Camargo, Tamaulipas, Mexico","Milenio, La Tarde",Central America to US,"http://bit.ly/3aLy9x0, http://bit.ly/37xpa0t",Central America,3,26.36563268,-98.80256387
52797,Southeast Asia,23-Jan-20,2020,Jan,1,9,10,10,1,0,0,Drowning,"Off the coast of Tanjung Medang, District of North Rupat, Bengkalis Regency, Riau Province, Indonesia - en route to Malaysia","VoA Indonesia, AFP", ,"http://archive.ph/AvOVB, http://archive.ph/EGsYn, http://archive.ph/HOr0s",South-eastern Asia,3,2.169159487,101.6085387
52789,Central America,22-Jan-20,2020,Jan,1,0,1,0,0,1,0,Injuries,"Died in hospital in Saltillo, Coahuila, Mexico - from injuries sustained in a fire on 16 January","Vanguardia, El Heraldo de Saltillo", ,"http://bit.ly/2uqPfQa, http://bit.ly/2NSvYOi",Central America,3,25.4772858,-100.9787858
52794,US-Mexico Border,21-Jan-20,2020,Jan,1,0,1,0,1,0,0,Sickness and lack of access to medicines,"Hospital General de Zona Número 11, Nuevo Laredo, Tamaulipas, Mexico","Sin Frontera Magazine, Vox Pópuli",Central America to US,"http://archive.ph/MdA5G, http://archive.ph/dWfwq",Central America,3,27.4965098,-99.5049573
52788,US-Mexico Border,20-Jan-20,2020,Jan,1,0,1,0,0,1,0,Drowning,"Río Bravo, near Quemado, Maverick County, Texas, USA","SuperChannel 12, GMNoticias",Central America to US,"http://bit.ly/3aE09T9, http://bit.ly/36kMYn5",Northern America,3,28.94115795,-100.6494819
52787,Europe,18-Jan-20,2020,Jan,1,0,1,0,0,1,0,Hit by train,"Train tracks near Thessaloniki Bridge, on the Eidomeni-Thessaloniki train line, Greece",Karfitsa, ,http://bit.ly/36fhNJH,Southern Europe,1,40.69692011,22.808082
52902,Central America,18-Jan-20,2020,Jan,1,0,1,0,0,1,0,Murder,"Unspecified location near Chiapas, Mexico",La Prensa Gráfica,Central America to US,https://www.laprensagrafica.com/elsalvador/Sepultan-a-migrante-que-fue-asesinado-20200225-0086.html,Central America,1,16.7569318,-93.1292353
52786,Sub-Saharan Africa,16-Jan-20,2020,Jan,3,0,3,3,1,2,1,Vehicle  accident,"Louga, Senegal","NdarInfo, Igfm, Senenews", ,"https://bit.ly/2FYVAVB, https://bit.ly/2TINU1Z, https://bit.ly/364j71X",Western Africa,3,15.6141768,-16.22868
52776,US-Mexico Border,13-Jan-20,2020,Jan,1,0,1,0,0,1,0,Drowning,"Río Bravo, near Ejido El Ramireño, Camargo, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana",Central America to US,"http://bit.ly/383RjMo, http://bit.ly/2uSXvZH",Central America,3,26.3003804,-98.75426466
52793,US-Mexico Border,13-Jan-20,2020,Jan,1,0,1,0,0,1,0,Shot,"Died in hospital in Tijuana after being shot on 8 December 2019 in Zona Norte, Tijuana, Baja California, Mexico",TJComunica,Central America to US,http://archive.ph/jJANm,Central America,1,32.5388762,-117.0455722
52811,Caribbean,13-Jan-20,2020,Jan,4,35,39,0,0,4,0,Drowning,"Ragged Island chain, Bahamas","Royal Bahamas Defence Force, Eyewitness news", ,"http://archive.ph/lfAKP, http://archive.ph/XHAmR, http://archive.ph/Ah3Mw",Caribbean,5,22.646233,-75.7029346
52773,Mediterranean,12-Jan-20,2020,Jan,1,0,1,0,0,1,0,Drowning,"Body recovered on beach in Cuevas de Almanzora, Almería, Spain",Diario de Almería,Western Mediterranean,"http://bit.ly/2Nlts2R, http://bit.ly/35LyKva",Uncategorized,3,37.27553988,-1.725327257
52810,Mediterranean,12-Jan-20,2020,Jan,1,0,1,0,0,1,0,Presumed drowning,"Body recovered on Arekmane beach, Nador, Morocco (Alboran Sea)","Association Marocaine des Droits Humaines, Nador City",Western Mediterranean,"https://bit.ly/30juilZ, http://archive.ph/ri3Qc",Uncategorized,4,35.12119171,-2.718498815
52865,Mediterranean,12-Jan-20,2020,Jan,0,3,3,0,0,0,0,Presumed drowning,"Off the coast of Sabratha, Libya",IOM Libya,Central Mediterranean, ,Uncategorized,4,32.94815516,12.45745658
52771,Mediterranean,11-Jan-20,2020,Jan,12,17,29,21,2,10,0,Drowning,"Ionian Sea, south-west of the coast of Paxos, Greece","IOM Greece, Hellenic Coast Guard",Eastern Mediterranean,"http://bit.ly/2RcDcOg, http://bit.ly/2Tk8Mfu",Uncategorized,5,39.2068815,20.22466737
52772,Mediterranean,11-Jan-20,2020,Jan,11,0,11,8,3,0,8,Drowning,"Off the coast of Çeşme, Izmir, Turkey",IOM Turkey,Eastern Mediterranean,http://bit.ly/37ZwMIW,Uncategorized,4,38.34403588,26.25164366
52775,South America,11-Jan-20,2020,Jan,1,0,1,0,0,1,0,Vehicle  accident,"Road near Manta, Manabí, Ecuador","El Nacional, El Universo", ,"http://bit.ly/2t8a42J, http://bit.ly/2RhWIZN",South America,3,-0.976440105,-80.6281912
52864,Mediterranean,11-Jan-20,2020,Jan,1,0,1,0,0,1,0,Shot,Unspecified location off the coast of Libya,UNHCR Libya,Central Mediterranean, ,Uncategorized,4,32.8563154,12.73207106
52763,US-Mexico Border,9-Jan-20,2020,Jan,1,0,1,0,0,1,0,Suicide,"Pharr–Reynosa International Bridge between Reynosa, Tamaulipas, Mexico and Pharr, Texas, USA","El Universal, Reuters",Central America to US,"http://bit.ly/2tFlif0, http://bit.ly/2QXbGUK, http://bit.ly/36PCih5",Central America,3,26.066759,-98.20524346
52792,US-Mexico Border,9-Jan-20,2020,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Plaza Santa Cecilia, Tijuana, Baja California, Mexico","Milenio, La Voz de la Frontera",Central America to US,"http://archive.ph/jJANm, http://archive.ph/Eh5WS",Central America,3,32.5357736,-117.0381917
52859,Mediterranean,9-Jan-20,2020,Jan,0,1,1,0,0,0,0,Drowning,Unspecified location off the coast of Libya,UNHCR Libya,Central Mediterranean, ,Uncategorized,4,32.8825882,12.71696486
52762,North Africa,8-Jan-20,2020,Jan,1,0,1,41,0,0,1,Unknown,"Died on board a boat found 15 nautical miles off the coast of Arrecife, Lanzarote, Spain","Cabildo de Lanzarote, Caminando Fronteras",Western African,"http://bit.ly/39OClff, http://bit.ly/2N45FVd, http://bit.ly/2FE12Nf, https://archive.ph/RmDNa",Uncategorized,5,28.68382134,-13.14221358
52760,Mediterranean,7-Jan-20,2020,Jan,0,1,1,11,0,0,0,Presumed drowning,"Off the coast of Tangier, Morocco (Gibraltar Strait)",Alarm Phone,Western Mediterranean,http://bit.ly/2Fxs6hm,Uncategorized,4,35.91389458,-5.853485643
52761,Europe,7-Jan-20,2020,Jan,1,0,1,0,0,1,1,Plane stowaway,"Body found in the undercarriage of a plane in Charles de Gaulle Airport, Paris, France (flight AF703 connecting Abidjan, Côte d'Ivoire with Paris, France)","Le Parisien, BBC, Le Monde", ,"http://bit.ly/2T4ym8n, https://bbc.in/2QAg0ug, http://bit.ly/30uOHF4",Western Europe,3,49.0096906,2.5479245
52878,Mediterranean,6-Jan-20,2020,Jan,0,17,17,0,0,5,0,Presumed drowning,"Unspecified location between Cap Djinet, Boumerdès, Algeria and the Balearic Islands, Spain",El Diario de Ibiza,Western Mediterranean,"http://archive.ph/vwRVl, http://archive.ph/zHvX7, http://archive.ph/ZkQnt",Uncategorized,3,37.81392774,2.901232148
52682,Mediterranean,5-Jan-20,2020,Jan,4,1,5,51,0,5,1,Drowning,"Off the coast of Izmir, Turkey",IOM Turkey,Eastern Mediterranean,https://bit.ly/2ZUlSS1,Uncategorized,4,38.61076246,26.65118782
52683,North Africa,5-Jan-20,2020,Jan,1,0,1,0,0,0,0,Unknown,"Off the coast of Gran Canaria, Spain",SER Canarias,Western African,"https://bit.ly/2sUp4B5, https://bit.ly/2s1jdcG",Uncategorized,3,27.66592408,-15.008647
52684,Mediterranean,5-Jan-20,2020,Jan,1,0,1,0,0,0,0,Presumed drowning,"Recovered from beach near Sirte, Libya","IOM Libya, La Repubblica",Central Mediterranean,"https://bit.ly/2N1EPNl, https://twitter.com/rgowans/status/1213935831792201728",Uncategorized,4,31.20439111,16.61070478
52774,US-Mexico Border,5-Jan-20,2020,Jan,1,0,1,1,0,1,0,Drowning,"Río Bravo, near Colonia Santa Martha, Ciudad Acuña, Coahuila, Mexico","Zócalo, La Rancherita del Aire",Central America to US,"http://bit.ly/36VxerF, http://bit.ly/2FTncv7",Central America,3,29.31140448,-100.9031437
52809,Mediterranean,5-Jan-20,2020,Jan,1,0,1,0,0,1,0,Drowning,"Body recovered on Sidi Hssain beach in Tazaghine, 65 kms west of Nador, Morocco (Alboran Sea)","Association Marocaine des Droits Humaines, Ariffino",Western Mediterranean,"http://archive.ph/0Sgyj, http://archive.ph/8WA2B",Uncategorized,4,35.2024162,-3.444319967
52681,Mediterranean,4-Jan-20,2020,Jan,1,1,2,34,0,0,0,Drowning,"Off the coast of Cartagena, Murcia, Spain",El Diario,Western Mediterranean,"https://bit.ly/37Q8aT9, https://bit.ly/39HEdGr",Uncategorized,3,37.48516166,-0.961183603
52679,Mediterranean,3-Jan-20,2020,Jan,8,5,13,0,3,5,0,Drowning,"Off the coast of Fethiye, Turkey",IOM Turkey,Eastern Mediterranean,"https://bit.ly/35sOq6r, https://bit.ly/36FTQfq",Uncategorized,4,36.59258427,28.98970454
52680,Southeast Asia,3-Jan-20,2020,Jan,20,0,20,27,0,0,0,Vehicle  accident,"Road near Myawady, Karen state, Myanmar - near the border with Thailand",AFP, ,"https://valliantnews.com/2020/01/05/myanmar-migrants-killed-in-thailand-bus-blaze/, https://bit.ly/2ZVbOrM, https://bit.ly/37xWGDw",South-eastern Asia,3,16.69165509,98.45030991
52665,South Asia,2-Jan-20,2020,Jan,0,0,0,0,0,0,0,Unknown,Placeholder,Placeholder, , ,Southern Asia,1,18.81791748,77.87109375
52678,Central America,2-Jan-20,2020,Jan,1,0,1,0,0,1,0,Sickness,"Tula, Hidalgo, Mexico",Directro Cubano, ,"https://bit.ly/2ZSFwh8, https://bit.ly/2QTsFHH",Central America,3,20.0522119,-99.3442487
52677,Europe,1-Jan-20,2020,Jan,1,0,1,2,0,1,0,Fall into a mountain crevice,"Cliffs near Socerb Castle, Slovenia, on the border near Trieste, Italy","Ministry of Internal Affairs Slovenia, Trieste Prima",Western Balkans,"https://bit.ly/36ukF6v, https://bit.ly/36F4piQ",Southern Europe,5,45.59174847,13.85420616
52863,Sub-Saharan Africa,1-Jan-20,2020,Jan,3,1,4,14,0,0,0,Shot,"Niger-Algeria border, near N’Guezzam, Algeria","Alarm Phone, IOM Niger", ,https://bit.ly/2SgRMVn,Western Africa,4,19.45699612,5.764623476
52756,Europe,31-Dec-19,2019,Dec,1,0,1,0,0,0,0,Drowning,"Unspecified location, Bosnia and Herzegovina",Ministry of Internal Affairs of the Una-Sana Canton ,Western Balkans, ,Southern Europe,5,44.21094544,19.02355859
52757,Europe,31-Dec-19,2019,Dec,3,0,3,0,0,0,0,Vehicle  accident,"Unspecified location, Bosnia and Herzegovina",Ministry of Internal Affairs of the Una-Sana Canton ,Western Balkans, ,Uncategorized,5,44.1639602,19.19946137
52758,Europe,31-Dec-19,2019,Dec,2,0,2,0,0,0,0,Fell,"Unspecified location, Bosnia and Herzegovina",Ministry of Internal Affairs of the Una-Sana Canton ,Western Balkans, ,Southern Europe,5,44.16220878,19.20495453
52824,US-Mexico Border,31-Dec-19,2019,Dec,1,0,1,0,0,1,0,Unknown,"Unspecified location in Jeff Davis County, Texas, USA",Jeff Davis County Sheriff's Office,Central America to US, ,Northern America,5,30.57841494,-104.382606
52825,US-Mexico Border,31-Dec-19,2019,Dec,2,0,2,0,0,0,0,Unknown,"Unspecified location in Brewster County, Texas, USA",Brewster Sheriff's Office,Central America to US, ,Northern America,5,29.6629938,-103.3587288
52666,Mediterranean,30-Dec-19,2019,Dec,1,0,1,0,0,1,0,Presumed drowning,"Recoverd on Calamorcarro Beach, Ceuta","El Foro de Ceuta, El Pueblo de Ceuta",Western Mediterranean,"https://bit.ly/39yKRyF, http://bit.ly/2TmrKlB",Uncategorized,2,35.91238355,-5.357673339
52673,Mediterranean,30-Dec-19,2019,Dec,1,0,1,11,0,0,0,Hypothermia,Unspecififed location off the coast of Algeria,El Watan,Western Mediterranean,https://bit.ly/2FqQHo4,Uncategorized,1,35.56897236,-1.28977313
